School Year,School Level,School ID_x,School Name,State School ID,Zip Code,Total Enrollment,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Students with Disabilities,Limited English Proficiency,DataAsOf,American Indian or Alaska Native Count,Asian Count,Black or African American Count,Hispanic/Latino Count,Native Hawaiian or Other Pacific Islander Count,White Count,Male Count,Female Count,Economically Disadvantaged Count,Students with Disabilities Count,Limited English Proficiency Count,ach_score,lg_score,lg_grade,Total Funding Per Pupil,Federal Per Pupil,State and Local Per Pupil,Percentage Experienced Teachers,Student-Educator Ratio,ADDRESS,CITY,STATE,ZIP
22-23,Elementary School,560,Dan Mills Elementary,160,37216,620,< 10,< 5%,15%,19%,16%,18%,17%,12%,,,,,,,,0.006666666666666672,0.006666666666666672,0.14,0.19,0.006666666666666672,0.65,0.5,0.5,0.14,0.12,0.14,01/17/2023,4.133333333333336,4.133333333333336,86.80000000000001,117.8,4.133333333333336,403.0,310.0,310.0,86.80000000000001,74.39999999999999,86.80000000000001,5.0,4.0,B,14841.8,1707.66,13134.14,0.878,14.0,4106  Kennedy  AVE,Nashville,TN,37216.0
22-23,Elementary School,252,Dodson Elementary,165,37076,425,< 10,7%,17%,14%,14%,13%,18%,16%,,,,,,,,0.006666666666666672,0.006666666666666672,0.54,0.23,0.006666666666666672,0.21,0.5,0.5,0.51,0.16,0.17,01/17/2023,2.8333333333333357,2.8333333333333357,229.50000000000003,97.75,2.8333333333333357,89.25,212.5,212.5,216.75,68.0,72.25,2.0,3.2,C,19931.74,3594.41,16337.330000000002,0.9429000000000001,11.0,4401  Chandler  RD,Hermitage,TN,37076.0
22-23,Middle School,260,Donelson Middle,175,37214,449,,,,,,,,,31%,33%,36%,,,,,0.006666666666666672,0.006666666666666672,0.45,0.26,0.006666666666666672,0.27,0.51,0.49,0.43,0.16,0.22,01/17/2023,2.993333333333336,2.993333333333336,202.05,116.74000000000001,2.993333333333336,121.23,228.99,220.01,193.07,71.84,98.78,1.0,1.2,F,16134.52,2797.54,13336.98,0.7778,12.0,110  Stewarts  Ferry PIKE,Nashville,TN,37214.0
22-23,Elementary School,265,Dupont Elementary,180,37138,377,< 10,7%,14%,13%,18%,15%,15%,15%,,,,,,,,0.003333333333333336,0.003333333333333336,0.35,0.18,0.003333333333333336,0.46,0.5,0.5,0.42,0.14,0.11,01/17/2023,1.2566666666666677,1.2566666666666677,131.95,67.86,1.2566666666666677,173.42000000000002,188.5,188.5,158.34,52.78000000000001,41.47,2.0,2.1,D,19269.4,2794.6299999999997,16474.77,0.9309999999999999,11.0,1311  9th  ST,Old Hickory,TN,37138.0
22-23,Middle School,270,Dupont-Hadley Middle,190,37138,385,,,,,,,,,34%,33%,33%,,,,,0.010000000000000009,0.010000000000000009,0.34,0.14,0.010000000000000009,0.49,0.47,0.53,0.3,0.18,0.07,01/17/2023,3.850000000000003,3.850000000000003,130.9,53.900000000000006,3.850000000000003,188.65,180.95,204.05,115.5,69.3,26.950000000000003,2.0,3.5,B,14996.25,2074.45,12921.8,0.9,13.0,1901 Old Hickory BLVD,Old Hickory,TN,37138.0
22-23,Middle School,275,Dupont-Tyler Middle,185,37076,313,,,,,,,,,36%,31%,33%,,,,,0.01666666666666668,0.01666666666666668,0.47,0.25,0.01666666666666668,0.23,0.49,0.51,0.45,0.13,0.2,01/17/2023,5.216666666666671,5.216666666666671,147.10999999999999,78.25,5.216666666666671,71.99000000000001,153.37,159.63,140.85,40.690000000000005,62.6,1.0,3.0,C,16937.55,2976.4399999999996,13961.11,1.0,13.0,431  Tyler  DR,Hermitage,TN,37076.0
22-23,Elementary School,278,Eagle View Elementary,115,37013,682,< 10,8%,16%,16%,12%,18%,17%,12%,,,,,,,,0.016666666666666646,0.016666666666666646,0.5,0.33,0.016666666666666646,0.12,0.52,0.48,0.41,0.1,0.36,01/17/2023,11.366666666666653,11.366666666666653,341.0,225.06,11.366666666666653,81.84,354.64,327.36,279.62,68.2,245.51999999999998,2.0,2.6,C,16232.980000000001,2586.8999999999996,13646.080000000002,0.76,12.0,,,,
22-23,Elementary School,280,Eakin Elementary,195,37212,522,,,12%,23%,18%,18%,19%,10%,,,,,,,,0.0050000000000000044,0.1,0.39,0.06,0.0050000000000000044,0.44,0.49,0.51,0.19,0.14,0.06,01/17/2023,2.610000000000002,52.2,203.58,31.32,2.610000000000002,229.68,255.78,266.22,99.18,73.08000000000001,31.32,5.0,4.8,A,15332.849999999999,2091.7799999999997,13241.07,0.7436,13.0,2500 Fairfax AVE,Nashville,TN,37212.0
22-23,High School,562,Early College High School,437,37209,180,,,,,,,,,,,,26%,21%,22%,32%,0.023333333333333317,0.023333333333333317,0.45,0.2,0.023333333333333317,0.28,0.41,0.59,0.17,0.075,0.075,01/17/2023,4.1999999999999975,4.1999999999999975,81.0,36.0,4.1999999999999975,50.400000000000006,73.8,106.19999999999999,30.6,13.5,13.5,5.0,4.9,A,12687.43,1279.45,11407.98,0.8889,20.0,120 White Bridge RD,Nashville,TN,37209.0
22-23,Charter,286,East End Preparatory School,8009,37216,743,,,10%,11%,11%,11%,13%,11%,12%,9%,10%,,,,,0.003333333333333336,0.003333333333333336,0.79,0.14,0.003333333333333336,0.06,0.47,0.53,0.46,0.13,0.07,01/17/2023,2.476666666666669,2.476666666666669,586.97,104.02000000000001,2.476666666666669,44.58,349.21,393.79,341.78000000000003,96.59,52.010000000000005,4.0,4.5,A,19232.08,4979.4,14252.68,0.6491,13.0,1460 McGavock PIKE,Nashville,TN,37216.0
