School Year,School Level,School ID_x,School Name,State School ID,Zip Code,Total Enrollment,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Students with Disabilities,Limited English Proficiency,DataAsOf,American Indian or Alaska Native Count,Asian Count,Black or African American Count,Hispanic/Latino Count,Native Hawaiian or Other Pacific Islander Count,White Count,Male Count,Female Count,Economically Disadvantaged Count,Students with Disabilities Count,Limited English Proficiency Count,ach_score,lg_score,lg_grade,Total Funding Per Pupil,Federal Per Pupil,State and Local Per Pupil,Percentage Experienced Teachers,Student-Educator Ratio,ADDRESS,CITY,STATE,ZIP
22-23,Elementary School,415,Hermitage Elementary,320,37076,316,< 10,8%,16%,16%,15%,15%,17%,11%,,,,,,,,0.006666666666666636,0.006666666666666636,0.28,0.33,0.006666666666666636,0.37,0.54,0.46,0.35,0.22,0.22,01/17/2023,2.106666666666657,2.106666666666657,88.48,104.28,2.106666666666657,116.92,170.64000000000001,145.36,110.6,69.52,69.52,1.0,1.5,D,19711.760000000002,2652.49,17059.27,0.8462000000000001,11.0,3800  Plantation  DR,Hermitage,TN,37076.0
22-23,Elementary School,420,Hickman Elementary,327,37214,448,< 5%,7%,14%,15%,12%,17%,14%,18%,,,,,,,,0.013333333333333345,0.013333333333333345,0.38,0.26,0.013333333333333345,0.32,0.55,0.45,0.39,0.17,0.21,01/17/2023,5.973333333333338,5.973333333333338,170.24,116.48,5.973333333333338,143.36,246.40000000000003,201.6,174.72,76.16000000000001,94.08,2.0,3.0,C,17814.969999999998,3410.1699999999996,14404.8,0.8856999999999999,11.0,112 Stewarts Ferry PIKE,Nashville,TN,37214.0
22-23,High School,435,Hillsboro High,335,37215,1198,,,,,,,,,,,< 10,27%,25%,26%,22%,0.010000000000000009,0.010000000000000009,0.47,0.09,0.010000000000000009,0.41,0.52,0.48,0.21,0.13,0.025,01/17/2023,11.980000000000011,11.980000000000011,563.06,107.82,11.980000000000011,491.17999999999995,622.96,575.04,251.57999999999998,155.74,29.950000000000003,3.0,2.2,D,14681.820000000002,1552.78,13129.04,0.7670999999999999,17.0,3812  Hillsboro  RD,Nashville,TN,37215.0
22-23,High School,440,Hillwood High,340,37205,1097,,,,,,,,,,,,29%,24%,24%,22%,0.0,0.06,0.32,0.26,0.0,0.36,0.53,0.47,0.28,0.14,0.19,01/17/2023,0.0,65.82,351.04,285.22,0.0,394.91999999999996,581.4100000000001,515.5899999999999,307.16,153.58,208.43,2.0,2.3,D,14461.79,1767.02,12694.77,0.8289,15.0,400  Davidson  RD,Nashville,TN,37205.0
22-23,Elementary School,451,Hull-Jackson Elementary,350,37208,400,17%,18%,18%,10%,11%,12%,9%,5%,,,,,,,,0.010000000000000009,0.010000000000000009,0.9,0.06,0.010000000000000009,0.010000000000000009,0.49,0.52,0.46,0.11,0.075,01/17/2023,4.0000000000000036,4.0000000000000036,360.0,24.0,4.0000000000000036,4.0000000000000036,196.0,208.0,184.0,44.0,30.0,1.0,1.7,D,24819.37,3590.7599999999998,21228.61,0.8529000000000001,8.0,1015  Kellow  ST,Nashville,TN,37208.0
22-23,High School,450,Hume-Fogg High,355,37203,896,,,,,,,,,,,,25%,26%,25%,25%,0.0,0.12,0.2,0.1,0.0,0.58,0.44,0.56,0.06,0.025,0.075,01/17/2023,0.0,107.52,179.20000000000002,89.60000000000001,0.0,519.68,394.24,501.76000000000005,53.76,22.400000000000002,67.2,5.0,5.0,A,12541.519999999999,1281.74,11259.779999999999,0.9129999999999999,20.0,700  Broadway  ,Nashville,TN,37203.0
22-23,High School,452,Hunters Lane High,358,37207,1488,,,,,,,,,,,,32%,26%,23%,18%,0.006666666666666672,0.006666666666666672,0.44,0.41,0.006666666666666672,0.13,0.55,0.45,0.42,0.13,0.29,01/17/2023,9.920000000000009,9.920000000000009,654.72,610.0799999999999,9.920000000000009,193.44,818.4000000000001,669.6,624.9599999999999,193.44,431.52,1.0,1.7,D,13635.69,1850.01,11785.68,0.7395999999999999,15.0,1150  Hunters  LN,Nashville,TN,37207.0
22-23,Elementary School,175,Ida B. Wells Elementary,80,37207,225,< 10,6%,20%,16%,16%,14%,14%,12%,,,,,,,,0.015000000000000013,0.015000000000000013,0.85,0.09,0.015000000000000013,0.015000000000000013,0.52,0.48,0.78,0.09,0.09,01/17/2023,3.375000000000003,3.375000000000003,191.25,20.25,3.375000000000003,3.375000000000003,117.0,108.0,175.5,20.25,20.25,1.0,3.0,C,18999.16,3760.4799999999996,15238.68,0.8695999999999999,9.0,244 Foster ST,Nashville,TN,37207.0
22-23,Elementary School,455,Inglewood Elementary,360,37216,235,< 10,14%,16%,13%,17%,17%,10%,11%,,,,,,,,0.003333333333333336,0.003333333333333336,0.66,0.09,0.003333333333333336,0.24,0.49,0.51,0.47,0.11,0.05,01/17/2023,0.783333333333334,0.783333333333334,155.1,21.15,0.783333333333334,56.4,115.14999999999999,119.85000000000001,110.44999999999999,25.85,11.75,1.0,2.1,D,22779.15,3935.6499999999996,18843.5,0.88,8.0,1700  Riverside  DR,Nashville,TN,37216.0
22-23,Charter,457,Intrepid College Prep Charter,8048,37013,847,,,,,,,,11%,13%,15%,14%,15%,13%,10%,8%,0.0033333333333333734,0.0033333333333333734,0.19,0.71,0.0033333333333333734,0.09,0.51,0.49,0.27,0.09,0.44,01/17/2023,2.8233333333333674,2.8233333333333674,160.93,601.37,2.8233333333333674,76.23,431.97,415.03,228.69000000000003,76.23,372.68,1.8,2.5,C,14158.32,3553.5899999999997,10604.73,0.4167,18.0,5432 Bell Forge Lane East ,Antioch,TN,37013.0
22-23,Middle School,510,Isaac Litton Middle,365,37216,301,,,,,,,,,38%,30%,32%,,,,,0.006666666666666672,0.006666666666666672,0.32,0.21,0.006666666666666672,0.45,0.54,0.46,0.29,0.18,0.15,01/17/2023,2.006666666666668,2.006666666666668,96.32000000000001,63.21,2.006666666666668,135.45000000000002,162.54000000000002,138.46,87.28999999999999,54.18,45.15,2.0,2.7,C,16282.160000000002,2129.7599999999998,14152.400000000001,0.8261,13.0,4601  Hedgewood  DR,Nashville,TN,37216.0
22-23,Elementary School,310,J.E. Moss Elementary,370,37013,676,< 10,8%,17%,20%,18%,18%,20%,,,,,,,,,0.0050000000000000044,0.06,0.12,0.75,0.0050000000000000044,0.06,0.51,0.49,0.4,0.11,0.65,01/17/2023,3.380000000000003,40.559999999999995,81.11999999999999,507.0,3.380000000000003,40.559999999999995,344.76,331.24,270.40000000000003,74.36,439.40000000000003,1.0,2.9,C,16471.41,2384.29,14087.119999999999,0.7931,11.0,4701  Bowfield  DR,Antioch,TN,37013.0
22-23,Middle School,120,Jere Baxter Middle,375,37207,446,,,,,,,,,33%,33%,34%,,,,,0.003333333333333336,0.003333333333333336,0.59,0.28,0.003333333333333336,0.12,0.55,0.45,0.59,0.19,0.28,01/17/2023,1.486666666666668,1.486666666666668,263.14,124.88000000000001,1.486666666666668,53.519999999999996,245.3,200.70000000000002,263.14,84.74,124.88000000000001,1.0,1.4,F,16397.699999999997,2960.4399999999996,13437.259999999998,0.48479999999999995,13.0,350 Hart LN,Nashville,TN,37207.0
22-23,Elementary School,465,Joelton Elementary,380,37080,266,< 10,< 5%,14%,23%,16%,19%,13%,10%,,,,,,,,0.003333333333333336,0.003333333333333336,0.19,0.15,0.003333333333333336,0.65,0.55,0.45,0.4,0.22,0.11,01/17/2023,0.8866666666666674,0.8866666666666674,50.54,39.9,0.8866666666666674,172.9,146.3,119.7,106.4,58.52,29.26,4.0,4.4,B,18584.199999999997,2135.0299999999997,16449.17,0.7273000000000001,11.0,7141 Whites Creek PIKE,Joelton,TN,37080.0
22-23,Elementary School,790,John B. Whitsitt Elementary,390,37210,482,< 10,< 5%,15%,17%,16%,15%,18%,13%,,,,,,,,0.010000000000000009,0.010000000000000009,0.11,0.68,0.010000000000000009,0.18,0.5,0.5,0.36,0.11,0.57,01/17/2023,4.820000000000004,4.820000000000004,53.02,327.76000000000005,4.820000000000004,86.75999999999999,241.0,241.0,173.51999999999998,53.02,274.73999999999995,3.0,3.9,B,17247.47,2993.3599999999997,14254.11,0.7368000000000001,12.0,110 Whitsett RD,Nashville,TN,37210.0
22-23,Middle School,285,John Early Middle,386,37208,181,,,,,,,,,28%,41%,30%,,,,,0.012500000000000011,0.012500000000000011,0.87,0.08,0.012500000000000011,0.012500000000000011,0.46,0.54,0.82,0.22,0.08,01/17/2023,2.262500000000002,2.262500000000002,157.47,14.48,2.262500000000002,2.262500000000002,83.26,97.74000000000001,148.42,39.82,14.48,1.0,2.1,D,21061.51,4420.21,16641.3,0.3,9.0,1000 Cass ST,Nashville,TN,37208.0
22-23,Middle School,498,John F. Kennedy Middle,393,37013,830,,,,,,,,26%,25%,26%,23%,,,,,0.013333333333333308,0.013333333333333308,0.32,0.5,0.013333333333333308,0.14,0.51,0.49,0.33,0.07,0.46,01/17/2023,11.066666666666645,11.066666666666645,265.6,415.0,11.066666666666645,116.20000000000002,423.3,406.7,273.90000000000003,58.10000000000001,381.8,1.7,3.3,C,13805.16,1839.76,11965.4,0.8364,15.0,2087 Hobson PIKE,Antioch,TN,37013.0
22-23,High School,615,John Overton High,395,37220,2017,,,,,,,,,,,,29%,26%,26%,19%,0.0,0.06,0.22,0.48,0.0,0.24,0.52,0.48,0.29,0.09,0.36,01/17/2023,0.0,121.02,443.74,968.16,0.0,484.08,1048.8400000000001,968.16,584.93,181.53,726.12,2.0,1.8,D,13549.17,1829.1000000000001,11720.07,0.8487,17.0,4820  Franklin  RD,Nashville,TN,37220.0
22-23,Middle School,563,John Trotwood Moore Middle,490,37204,533,,,,,,,,24%,26%,24%,26%,,,,,0.017500000000000016,0.017500000000000016,0.31,0.017500000000000016,0.017500000000000016,0.62,0.51,0.49,0.19,0.13,0.025,01/17/2023,9.327500000000008,9.327500000000008,165.23,9.327500000000008,9.327500000000008,330.46,271.83,261.17,101.27,69.29,13.325000000000001,5.0,3.1,C,14231.35,1517.3799999999999,12713.970000000001,0.8108,14.0,4425  Granny  White PIKE,Nashville,TN,37204.0
22-23,Elementary School,485,Jones Elementary,387,37208,287,< 10,5%,19%,16%,12%,17%,15%,14%,,,,,,,,0.007500000000000007,0.007500000000000007,0.9,0.07,0.007500000000000007,0.007500000000000007,0.51,0.49,0.75,0.14,0.025,01/17/2023,2.152500000000002,2.152500000000002,258.3,20.090000000000003,2.152500000000002,2.152500000000002,146.37,140.63,215.25,40.18000000000001,7.175000000000001,1.0,2.0,D,17607.79,3472.5199999999995,14135.27,0.5625,16.0,1800 9th AVE,Nashville,TN,37208.0
22-23,Elementary School,380,Julia Green Elementary,415,37215,435,,,23%,22%,20%,18%,17%,,,,,,,,,0.022499999999999992,0.05,0.022499999999999992,0.022499999999999992,0.022499999999999992,0.86,0.49,0.51,0.025,0.07,0.075,01/17/2023,9.787499999999996,21.75,9.787499999999996,9.787499999999996,9.787499999999996,374.09999999999997,213.15,221.85,10.875,30.450000000000003,32.625,5.0,4.1,B,14810.600000000002,1618.27,13192.330000000002,0.8181999999999999,13.0,3500 Hobbs RD,Nashville,TN,37215.0
22-23,Charter,509,KA @ The Crossings,8110,37013,528,,,,,,,,10%,14%,12%,12%,20%,16%,11%,7%,0.006666666666666636,0.006666666666666636,0.37,0.45,0.006666666666666636,0.16,0.51,0.49,0.33,0.15,0.32,01/17/2023,3.5199999999999836,3.5199999999999836,195.35999999999999,237.6,3.5199999999999836,84.48,269.28000000000003,258.71999999999997,174.24,79.2,168.96,1.0,1.7,D,,,,,,,,,
22-23,Charter,502,KIPP Academy Nashville,8002,37207,371,,,,,,,,23%,27%,26%,23%,,,,,0.007500000000000007,0.007500000000000007,0.56,0.41,0.007500000000000007,0.007500000000000007,0.52,0.48,0.53,0.13,0.28,01/17/2023,2.7825000000000024,2.7825000000000024,207.76000000000002,152.10999999999999,2.7825000000000024,2.7825000000000024,192.92000000000002,178.07999999999998,196.63000000000002,48.230000000000004,103.88000000000001,2.5,3.7,B,19595.879999999997,2779.3999999999996,16816.48,0.5333,25.0,123 Douglas AVE,Nashville,TN,37207.0
22-23,Charter,499,KIPP Academy Nashville Elementary,8095,37206,326,,,21%,21%,17%,22%,20%,,,,,,,,,0.015999999999999993,0.015999999999999993,0.92,0.015999999999999993,0.015999999999999993,0.015999999999999993,0.49,0.51,0.79,0.14,0.025,01/17/2023,5.2159999999999975,5.2159999999999975,299.92,5.2159999999999975,5.2159999999999975,5.2159999999999975,159.74,166.26,257.54,45.64000000000001,8.15,2.0,2.5,C,22393.949999999997,4172.08,18221.87,0.5882000000000001,20.0,1000 Sevier ST,Nashville,TN,37206.0
22-23,Charter,503,KIPP Nashville College Prep,8042,37207,325,,,,,,,,26%,28%,24%,22%,,,,,0.009999999999999981,0.009999999999999981,0.79,0.17,0.009999999999999981,0.009999999999999981,0.46,0.54,0.49,0.14,0.13,01/17/2023,3.249999999999994,3.249999999999994,256.75,55.25000000000001,3.249999999999994,3.249999999999994,149.5,175.5,159.25,45.50000000000001,42.25,2.7,3.8,B,24655.440000000002,5044.88,19610.56,0.4118,19.0,3410 Knight RD,Nashville,TN,37207.0
22-23,Charter,501,KIPP Nashville College Prep Elementary,8085,37207,415,,,20%,19%,20%,21%,20%,,,,,,,,,0.010000000000000009,0.010000000000000009,0.84,0.12,0.010000000000000009,0.010000000000000009,0.48,0.52,0.56,0.11,0.11,01/17/2023,4.150000000000004,4.150000000000004,348.59999999999997,49.8,4.150000000000004,4.150000000000004,199.2,215.8,232.40000000000003,45.65,45.65,3.0,3.0,C,22612.35,4395.12,18217.23,0.5625,26.0,3410 Knight RD,Nashville,TN,37207.0
22-23,Charter,504,KIPP Nashville Collegiate High School,8011,37207,472,,,,,,,,,,,,29%,26%,22%,24%,0.010000000000000009,0.010000000000000009,0.6,0.36,0.010000000000000009,0.010000000000000009,0.53,0.47,0.38,0.16,0.13,01/17/2023,4.720000000000004,4.720000000000004,283.2,169.92,4.720000000000004,4.720000000000004,250.16000000000003,221.83999999999997,179.36,75.52,61.36,2.0,2.1,D,20715.82,2385.72,18330.1,0.6286,14.0,123 Douglas AVE,Nashville,TN,37207.0
22-23,Elementary School,122,Lakeview Elementary,430,37217,603,11%,8%,15%,19%,15%,15%,17%,,,,,,,,,0.010000000000000009,0.010000000000000009,0.28,0.51,0.010000000000000009,0.18,0.52,0.48,0.34,0.21,0.45,01/17/2023,6.030000000000006,6.030000000000006,168.84,307.53000000000003,6.030000000000006,108.53999999999999,313.56,289.44,205.02,126.63,271.35,2.0,2.5,C,16627.059999999998,2990.2799999999997,13636.779999999999,0.6383,10.0,455 Rural Hill RD,Nashville,TN,37217.0
22-23,Charter,508,LEAD Academy,8003,37208,474,,,,,,,,,,,,29%,28%,24%,19%,0.003333333333333336,0.003333333333333336,0.28,0.64,0.003333333333333336,0.07,0.52,0.48,0.35,0.13,0.43,01/17/2023,1.5800000000000014,1.5800000000000014,132.72,303.36,1.5800000000000014,33.18,246.48000000000002,227.51999999999998,165.89999999999998,61.620000000000005,203.82,2.0,2.5,C,14925.58,5354.08,9571.5,0.45159999999999995,15.0,"1035 1st Ave South , LEAD College Prep Building",Nashville,TN,37210.0
22-23,Charter,181,LEAD Cameron,8010,37210,511,,,,,,,,7%,29%,31%,33%,,,,,0.003333333333333336,0.003333333333333336,0.23,0.68,0.003333333333333336,0.08,0.56,0.44,0.36,0.11,0.63,01/17/2023,1.7033333333333347,1.7033333333333347,117.53,347.48,1.7033333333333347,40.88,286.16,224.84,183.95999999999998,56.21,321.93,1.1,3.0,C,15598.529999999999,5503.889999999999,10094.64,0.5455,12.0,1034 1st Avenue South ,Nashville,TN,37210.0
22-23,Charter,507,LEAD Southeast,8013,37211,819,,,,,,,,11%,14%,13%,14%,14%,13%,10%,9%,-0.0050000000000000044,0.08,0.17,0.53,-0.0050000000000000044,0.23,0.49,0.51,0.31,0.09,0.45,01/17/2023,-4.095000000000003,65.52,139.23000000000002,434.07000000000005,-4.095000000000003,188.37,401.31,417.69,253.89,73.71,368.55,2.4,3.3,C,15523.71,4790.07,10733.64,0.4483,14.0,531 Metroplex DR,Nashville,TN,37211.0
22-23,Charter,517,Liberty Collegiate Academy,8005,37216,314,,,,,,,,10%,30%,29%,31%,,,,,0.003333333333333336,0.003333333333333336,0.41,0.52,0.003333333333333336,0.06,0.59,0.41,0.45,0.15,0.39,01/17/2023,1.0466666666666675,1.0466666666666675,128.73999999999998,163.28,1.0466666666666675,18.84,185.26,128.73999999999998,141.3,47.1,122.46000000000001,3.0,4.0,B,17813.8,4798.849999999999,13014.95,0.4667,21.0,3515 Gallatin RD,Nashville,TN,37206.0
22-23,Elementary School,520,Lockeland Elementary,435,37206,312,,,19%,19%,19%,19%,19%,6%,,,,,,,,0.01999999999999999,0.01999999999999999,0.01999999999999999,0.05,0.01999999999999999,0.87,0.49,0.51,0.075,0.1,0.075,01/17/2023,6.239999999999997,6.239999999999997,6.239999999999997,15.600000000000001,6.239999999999997,271.44,152.88,159.12,23.4,31.200000000000003,23.4,5.0,4.0,B,15053.699999999999,1554.3799999999999,13499.32,0.9565,14.0,105 South 17th ST,Nashville,TN,37206.0
22-23,Middle School,545,Madison Middle,622,37115,384,,,,,,,,,32%,34%,34%,,,,,0.003333333333333336,0.003333333333333336,0.55,0.36,0.003333333333333336,0.08,0.48,0.52,0.51,0.15,0.33,01/17/2023,1.2800000000000011,1.2800000000000011,211.20000000000002,138.24,1.2800000000000011,30.72,184.32,199.68,195.84,57.599999999999994,126.72,1.0,2.6,C,15018.4,2541.72,12476.68,0.5926,15.0,300 W Old Hickory BLVD,Madison,TN,37115.0
22-23,High School,550,Maplewood High,445,37216,712,,,,,,,,,,,,28%,26%,25%,21%,0.0033333333333333734,0.0033333333333333734,0.61,0.3,0.0033333333333333734,0.08,0.52,0.48,0.55,0.16,0.28,01/17/2023,2.373333333333362,2.373333333333362,434.32,213.6,2.373333333333362,56.96,370.24,341.76,391.6,113.92,199.36,1.0,1.2,F,15741.76,2865.56,12876.2,0.8443999999999999,15.0,401 Walton LN,Nashville,TN,37216.0
22-23,Middle School,100,Margaret Allen Middle,450,37210,266,,,,,,,,,36%,34%,30%,,,,,0.003333333333333336,0.003333333333333336,0.35,0.54,0.003333333333333336,0.1,0.55,0.45,0.35,0.11,0.54,01/17/2023,0.8866666666666674,0.8866666666666674,93.1,143.64000000000001,0.8866666666666674,26.6,146.3,119.7,93.1,29.26,143.64000000000001,1.0,3.0,C,15541.67,2716.66,12825.01,0.88,11.0,500  Spence  LN,Nashville,TN,37210.0
22-23,High School,497,Martin Luther King Jr School,456,37203,1201,,,,,,,,,,10%,11%,18%,21%,20%,19%,0.0050000000000000044,0.09,0.35,0.09,0.0050000000000000044,0.46,0.5,0.5,0.08,0.025,0.025,01/17/2023,6.005000000000005,108.08999999999999,420.34999999999997,108.08999999999999,6.005000000000005,552.46,600.5,600.5,96.08,30.025000000000002,30.025000000000002,5.0,5.0,A,12219.45,1349.93,10869.52,0.9384999999999999,19.0,613 17th Avenue North ,Nashville,TN,37203.0
22-23,Elementary School,682,May Werthan Shayne Elementary School,608,37211,731,,5%,17%,21%,18%,19%,20%,,,,,,,,,0.0050000000000000044,0.12,0.27,0.11,0.0050000000000000044,0.49,0.5,0.5,0.23,0.09,0.25,01/17/2023,3.6550000000000034,87.72,197.37,80.41,3.6550000000000034,358.19,365.5,365.5,168.13,65.78999999999999,182.75,4.0,4.4,B,15102.2,2101.1099999999997,13001.09,0.9608,14.0,6217 Nolensville RD,Nashville,TN,37211.0
22-23,Elementary School,530,McGavock Elementary,465,37214,291,< 10,5%,16%,17%,16%,15%,13%,15%,,,,,,,,0.003333333333333336,0.003333333333333336,0.31,0.5,0.003333333333333336,0.18,0.52,0.48,0.39,0.12,0.44,01/17/2023,0.9700000000000009,0.9700000000000009,90.21,145.5,0.9700000000000009,52.379999999999995,151.32,139.68,113.49000000000001,34.92,128.04,1.0,1.5,D,19000.579999999998,3388.2799999999997,15612.3,0.8332999999999999,12.0,275  McGavock  PIKE,Nashville,TN,37214.0
22-23,High School,532,McGavock High,470,37214,2086,,,,,,,,,,,,27%,26%,26%,21%,0.006666666666666672,0.006666666666666672,0.42,0.26,0.006666666666666672,0.3,0.51,0.49,0.35,0.14,0.15,01/17/2023,13.906666666666679,13.906666666666679,876.12,542.36,13.906666666666679,625.8,1063.8600000000001,1022.14,730.0999999999999,292.04,312.9,1.0,1.1,F,13707.359999999999,1666.5600000000002,12040.8,0.8492000000000001,17.0,3150  McGavock  PIKE,Nashville,TN,37214.0
22-23,Middle School,540,McMurray Middle,480,37211,705,,,,,,,,26%,24%,23%,27%,,,,,5.551115123125783e-17,0.09,0.11,0.72,5.551115123125783e-17,0.08,0.55,0.45,0.34,0.11,0.69,01/17/2023,3.913536161803677e-14,63.449999999999996,77.55,507.59999999999997,3.913536161803677e-14,56.4,387.75000000000006,317.25,239.70000000000002,77.55,486.45,1.0,2.2,D,15765.940000000002,2550.2,13215.740000000002,0.7963,13.0,520  McMurray  DR,Nashville,TN,37211.0
22-23,Middle School,555,Meigs Middle,330,37206,695,,,,,,,,25%,25%,25%,25%,,,,,0.0,0.11,0.19,0.07,0.0,0.63,0.49,0.51,0.05,0.06,0.025,01/17/2023,0.0,76.45,132.05,48.650000000000006,0.0,437.85,340.55,354.45,34.75,41.699999999999996,17.375,5.0,3.1,C,12890.4,1381.1200000000001,11509.279999999999,1.0,18.0,713 Ramsey ST,Nashville,TN,37206.0
22-23,Middle School,535,Moses McKissack Middle,35,37209,173,,,,,,,,,22%,38%,40%,,,,,0.015999999999999993,0.015999999999999993,0.92,0.015999999999999993,0.015999999999999993,0.015999999999999993,0.53,0.47,0.77,0.25,0.075,01/17/2023,2.767999999999999,2.767999999999999,159.16,2.767999999999999,2.767999999999999,2.767999999999999,91.69,81.31,133.21,43.25,12.975,1.0,1.8,D,25973.2,4468.089999999999,21505.11,0.9375,11.0,915 38th Ave N ,Nashville,TN,37209.0
22-23,Elementary School,576,Mt. View Elementary,493,37013,730,< 10,7%,20%,18%,18%,18%,18%,,,,,,,,,0.01666666666666668,0.01666666666666668,0.27,0.41,0.01666666666666668,0.27,0.49,0.51,0.33,0.11,0.5,01/17/2023,12.166666666666677,12.166666666666677,197.10000000000002,299.29999999999995,12.166666666666677,197.10000000000002,357.7,372.3,240.9,80.3,365.0,2.0,3.0,C,16220.4,2380.1499999999996,13840.25,0.7646999999999999,13.0,3820  Murfreesboro  RD,Antioch,TN,37013.0
22-23,Elementary School,590,Napier Elementary,510,37210,320,< 5%,11%,13%,18%,13%,13%,14%,13%,,,,,,,,0.0050000000000000044,0.0050000000000000044,0.88,0.1,0.0050000000000000044,0.0050000000000000044,0.45,0.55,0.89,0.19,0.025,01/17/2023,1.6000000000000014,1.6000000000000014,281.6,32.0,1.6000000000000014,1.6000000000000014,144.0,176.0,284.8,60.8,8.0,1.0,3.0,C,21638.68,4760.76,16877.92,0.5909,12.0,60  Fairfield  AVE,Nashville,TN,37210.0
22-23,Charter,592,Nashville Classical,8044,37206,520,,,15%,14%,12%,12%,12%,9%,10%,9%,8%,,,,,0.003333333333333336,0.003333333333333336,0.63,0.09,0.003333333333333336,0.27,0.51,0.49,0.3,0.15,0.025,01/17/2023,1.7333333333333347,1.7333333333333347,327.6,46.8,1.7333333333333347,140.4,265.2,254.79999999999998,156.0,78.0,13.0,3.5,2.2,D,16829.989999999998,2910.1,13919.89,0.4412,16.0,1310 Ordway ,Nashville,TN,37206.0
22-23,Charter,594,Nashville Prep,8008,37209,206,,,,,,,,15%,33%,29%,24%,,,,,0.006666666666666672,0.006666666666666672,0.44,0.49,0.006666666666666672,0.05,0.49,0.51,0.47,0.14,0.37,01/17/2023,1.3733333333333344,1.3733333333333344,90.64,100.94,1.3733333333333344,10.3,100.94,105.06,96.82,28.840000000000003,76.22,2.0,3.5,B,20324.64,5655.19,14669.45,0.2,20.0,1300 56th Ave N ,Nashville,TN,37209.0
22-23,High School,242,Nashville School Of The Arts,512,37210,603,,,,,,,,,,,,27%,23%,25%,25%,0.006666666666666672,0.006666666666666672,0.4,0.1,0.006666666666666672,0.48,0.3,0.7,0.14,0.11,0.075,01/17/2023,4.020000000000003,4.020000000000003,241.20000000000002,60.300000000000004,4.020000000000003,289.44,180.9,422.09999999999997,84.42,66.33,45.225,5.0,4.8,A,13052.02,1394.64,11657.380000000001,0.8332999999999999,17.0,1250 Foster AVE,Nashville,TN,37210.0
22-23,Charter,601,Neelys Bend College Prep,6000,37115,371,,,,,,,,< 5%,36%,32%,29%,,,,,0.0,0.0,0.44,0.43,0.0,0.13,0.57,0.43,0.44,0.16,0.31,01/17/2023,0.0,0.0,163.24,159.53,0.0,48.230000000000004,211.46999999999997,159.53,163.24,59.36,115.01,,,,,,,,,,,,
22-23,Elementary School,595,Neelys Bend Elementary,515,37115,370,< 5%,7%,16%,18%,15%,15%,15%,12%,,,,,,,,0.003333333333333336,0.003333333333333336,0.39,0.49,0.003333333333333336,0.11,0.47,0.53,0.45,0.15,0.34,01/17/2023,1.2333333333333343,1.2333333333333343,144.3,181.29999999999998,1.2333333333333343,40.7,173.89999999999998,196.10000000000002,166.5,55.5,125.80000000000001,2.0,2.5,C,17549.85,2906.5699999999997,14643.279999999999,0.8571,12.0,1300 Neely's Bend RD,Madison,TN,37115.0
22-23,Elementary School,145,Norman Binkley Elementary,525,37211,674,< 10,< 5%,17%,19%,16%,16%,15%,12%,,,,,,,,0.013333333333333345,0.013333333333333345,0.13,0.59,0.013333333333333345,0.24,0.5,0.5,0.27,0.14,0.6,01/17/2023,8.986666666666673,8.986666666666673,87.62,397.65999999999997,8.986666666666673,161.76,337.0,337.0,181.98000000000002,94.36000000000001,404.4,2.0,2.9,C,16561.329999999998,2668.1699999999996,13893.16,0.7895,11.0,4700 West Longdale DR,Nashville,TN,37211.0
22-23,Elementary School,610,Old Center Elementary,535,37072,367,< 10,9%,14%,16%,17%,15%,15%,12%,,,,,,,,0.0033333333333332993,0.0033333333333332993,0.5,0.34,0.0033333333333332993,0.15,0.5,0.5,0.44,0.11,0.26,01/17/2023,1.2233333333333207,1.2233333333333207,183.5,124.78000000000002,1.2233333333333207,55.05,183.5,183.5,161.48,40.37,95.42,3.0,2.1,D,19192.42,3414.2999999999997,15778.119999999999,0.9309999999999999,11.0,1245 Dickerson Pike South ,Goodlettsville,TN,37072.0
22-23,Elementary School,618,Paragon Mills Elementary,540,37211,567,< 5%,8%,19%,18%,16%,17%,17%,,,,,,,,,0.0,0.08,0.24,0.55,0.0,0.13,0.52,0.48,0.49,0.11,0.62,01/17/2023,0.0,45.36,136.07999999999998,311.85,0.0,73.71000000000001,294.84000000000003,272.15999999999997,277.83,62.37,351.54,1.0,2.9,C,16701.61,3027.25,13674.36,0.75,11.0,260 Paragon Mills RD,Nashville,TN,37211.0
22-23,Elementary School,620,Park Avenue Elementary,545,37209,350,7%,10%,16%,17%,12%,13%,14%,10%,,,,,,,,0.003333333333333336,0.003333333333333336,0.87,0.05,0.003333333333333336,0.07,0.54,0.46,0.71,0.22,0.025,01/17/2023,1.1666666666666676,1.1666666666666676,304.5,17.5,1.1666666666666676,24.500000000000004,189.0,161.0,248.5,77.0,8.75,1.0,1.8,D,19551.99,3754.91,15797.080000000002,0.68,12.0,3703  Park  AVE,Nashville,TN,37209.0
