School Name,School Level,School ID_x,State School ID,Zip Code,Total Enrollment,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Students with Disabilities,Limited English Proficiency,DataAsOf,American Indian or Alaska Native Count,Asian Count,Black or African American Count,Hispanic/Latino Count,Native Hawaiian or Other Pacific Islander Count,White Count,Male Count,Female Count,Economically Disadvantaged Count,Students with Disabilities Count,Limited English Proficiency Count,ach_score,lg_score,lg_grade,Total Funding Per Pupil,Federal Per Pupil,State and Local Per Pupil,Percentage Experienced Teachers,Student-Educator Ratio,ADDRESS,CITY,STATE,ZIP
Hermitage Elementary,Elementary School,415,320,37076,316,< 10,8%,16%,16%,15%,15%,17%,11%,,,,,,,,0.006666667,0.006666667,0.28,0.33,0.006666667,0.37,0.54,0.46,0.35,0.22,0.22,1/17/23,2.106666666666657,2.106666666666657,88.48,104.28,2.106666666666657,116.92,170.64000000000001,145.36,110.6,69.52,69.52,1,1.5,D,19711.760000000002,2652.49,17059.27,0.8462000000000001,11,3800  Plantation  DR,Hermitage,TN,37076
Hickman Elementary,Elementary School,420,327,37214,448,< 5%,7%,14%,15%,12%,17%,14%,18%,,,,,,,,0.013333333333333345,0.013333333333333345,0.38,0.26,0.013333333333333345,0.32,0.55,0.45,0.39,0.17,0.21,1/17/23,5.973333333333338,5.973333333333338,170.24,116.48,5.973333333333338,143.36,246.40000000000003,201.6,174.72,76.16000000000001,94.08,2,3,C,17814.969999999998,3410.1699999999996,14404.8,0.8856999999999999,11,112 Stewarts Ferry PIKE,Nashville,TN,37214
Hillsboro High,High School,435,335,37215,1198,,,,,,,,,,,< 10,27%,25%,26%,22%,0.010000000000000009,0.010000000000000009,0.47,0.09,0.010000000000000009,0.41,0.52,0.48,0.21,0.13,0.025,1/17/23,11.980000000000011,11.980000000000011,563.06,107.82,11.980000000000011,491.17999999999995,622.96,575.04,251.57999999999998,155.74,29.950000000000003,3,2.2,D,14681.820000000002,1552.78,13129.04,0.7670999999999999,17,3812  Hillsboro  RD,Nashville,TN,37215
Hillwood High,High School,440,340,37205,1097,,,,,,,,,,,,29%,24%,24%,22%,0,0.06,0.32,0.26,0,0.36,0.53,0.47,0.28,0.14,0.19,1/17/23,0,65.82,351.04,285.22,0,394.91999999999996,581.4100000000001,515.5899999999999,307.16,153.58,208.43,2,2.3,D,14461.79,1767.02,12694.77,0.8289,15,400  Davidson  RD,Nashville,TN,37205
Hull-Jackson Elementary,Elementary School,451,350,37208,400,17%,18%,18%,10%,11%,12%,9%,5%,,,,,,,,0.010000000000000009,0.010000000000000009,0.9,0.06,0.010000000000000009,0.010000000000000009,0.49,0.52,0.46,0.11,0.075,1/17/23,4.0000000000000036,4.0000000000000036,360,24,4.0000000000000036,4.0000000000000036,196,208,184,44,30,1,1.7,D,24819.37,3590.7599999999998,21228.61,0.8529000000000001,8,1015  Kellow  ST,Nashville,TN,37208
Hume-Fogg High,High School,450,355,37203,896,,,,,,,,,,,,25%,26%,25%,25%,0,0.12,0.2,0.1,0,0.58,0.44,0.56,0.06,0.025,0.075,1/17/23,0,107.52,179.20000000000002,89.60000000000001,0,519.68,394.24,501.76000000000005,53.76,22.400000000000002,67.2,5,5,A,12541.519999999999,1281.74,11259.779999999999,0.9129999999999999,20,700  Broadway  ,Nashville,TN,37203
Hunters Lane High,High School,452,358,37207,1488,,,,,,,,,,,,32%,26%,23%,18%,0.006666667,0.006666667,0.44,0.41,0.006666667,0.13,0.55,0.45,0.42,0.13,0.29,1/17/23,9.920000000000009,9.920000000000009,654.72,610.0799999999999,9.920000000000009,193.44,818.4000000000001,669.6,624.9599999999999,193.44,431.52,1,1.7,D,13635.69,1850.01,11785.68,0.7395999999999999,15,1150  Hunters  LN,Nashville,TN,37207
Ida B. Wells Elementary,Elementary School,175,80,37207,225,< 10,6%,20%,16%,16%,14%,14%,12%,,,,,,,,0.015000000000000013,0.015000000000000013,0.85,0.09,0.015000000000000013,0.015000000000000013,0.52,0.48,0.78,0.09,0.09,1/17/23,3.375000000000003,3.375000000000003,191.25,20.25,3.375000000000003,3.375000000000003,117,108,175.5,20.25,20.25,1,3,C,18999.16,3760.4799999999996,15238.68,0.8695999999999999,9,244 Foster ST,Nashville,TN,37207
Inglewood Elementary,Elementary School,455,360,37216,235,< 10,14%,16%,13%,17%,17%,10%,11%,,,,,,,,0.003333333,0.003333333,0.66,0.09,0.003333333,0.24,0.49,0.51,0.47,0.11,0.05,1/17/23,0.783333333,0.783333333,155.1,21.15,0.783333333,56.4,115.14999999999999,119.85000000000001,110.44999999999999,25.85,11.75,1,2.1,D,22779.15,3935.6499999999996,18843.5,0.88,8,1700  Riverside  DR,Nashville,TN,37216
Intrepid College Prep Charter,Charter,457,8048,37013,847,,,,,,,,11%,13%,15%,14%,15%,13%,10%,8%,0.003333333,0.003333333,0.19,0.71,0.003333333,0.09,0.51,0.49,0.27,0.09,0.44,1/17/23,2.8233333333333674,2.8233333333333674,160.93,601.37,2.8233333333333674,76.23,431.97,415.03,228.69000000000003,76.23,372.68,1.8,2.5,C,14158.32,3553.5899999999997,10604.73,0.4167,18,5432 Bell Forge Lane East ,Antioch,TN,37013
