School Name,School Level,School ID_x,State School ID,Zip Code,Total Enrollment,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Students with Disabilities,Limited English Proficiency,DataAsOf,American Indian or Alaska Native Count,Asian Count,Black or African American Count,Hispanic/Latino Count,Native Hawaiian or Other Pacific Islander Count,White Count,Male Count,Female Count,Economically Disadvantaged Count,Students with Disabilities Count,Limited English Proficiency Count,ach_score,lg_score,lg_grade,Total Funding Per Pupil,Federal Per Pupil,State and Local Per Pupil,Percentage Experienced Teachers,Student-Educator Ratio,ADDRESS,CITY,STATE,ZIP
LEAD Southeast,Charter,507,8013,37211,819,,,,,,,,11%,14%,13%,14%,14%,13%,10%,9%,-0.005,0.08,0.17,0.53,-0.005,0.23,0.49,0.51,0.31,0.09,0.45,1/17/23,-4.095,65.52,139.23000000000002,434.07000000000005,-4.095,188.37,401.31,417.69,253.89,73.71,368.55,2.4,3.3,C,15523.71,4790.07,10733.64,0.4483,14,531 Metroplex DR,Nashville,TN,37211
Liberty Collegiate Academy,Charter,517,8005,37216,314,,,,,,,,10%,30%,29%,31%,,,,,0.003333333,0.003333333,0.41,0.52,0.003333333,0.06,0.59,0.41,0.45,0.15,0.39,1/17/23,1.0466666666666675,1.0466666666666675,128.73999999999998,163.28,1.0466666666666675,18.84,185.26,128.73999999999998,141.3,47.1,122.46000000000001,3,4,B,17813.8,4798.849999999999,13014.95,0.4667,21,3515 Gallatin RD,Nashville,TN,37206
Lockeland Elementary,Elementary School,520,435,37206,312,,,19%,19%,19%,19%,19%,6%,,,,,,,,0.02,0.02,0.02,0.05,0.02,0.87,0.49,0.51,0.075,0.1,0.075,1/17/23,6.239999999999997,6.239999999999997,6.239999999999997,15.600000000000001,6.239999999999997,271.44,152.88,159.12,23.4,31.200000000000003,23.4,5,4,B,15053.699999999999,1554.3799999999999,13499.32,0.9565,14,105 South 17th ST,Nashville,TN,37206
Madison Middle,Middle School,545,622,37115,384,,,,,,,,,32%,34%,34%,,,,,0.003333333,0.003333333,0.55,0.36,0.003333333,0.08,0.48,0.52,0.51,0.15,0.33,1/17/23,1.2800000000000011,1.2800000000000011,211.20000000000002,138.24,1.2800000000000011,30.72,184.32,199.68,195.84,57.599999999999994,126.72,1,2.6,C,15018.4,2541.72,12476.68,0.5926,15,300 W Old Hickory BLVD,Madison,TN,37115
Maplewood High,High School,550,445,37216,712,,,,,,,,,,,,28%,26%,25%,21%,0.003333333,0.003333333,0.61,0.3,0.003333333,0.08,0.52,0.48,0.55,0.16,0.28,1/17/23,2.373333333333362,2.373333333333362,434.32,213.6,2.373333333333362,56.96,370.24,341.76,391.6,113.92,199.36,1,1.2,F,15741.76,2865.56,12876.2,0.8443999999999999,15,401 Walton LN,Nashville,TN,37216
Margaret Allen Middle,Middle School,100,450,37210,266,,,,,,,,,36%,34%,30%,,,,,0.003333333,0.003333333,0.35,0.54,0.003333333,0.1,0.55,0.45,0.35,0.11,0.54,1/17/23,0.8866666666666674,0.8866666666666674,93.1,143.64000000000001,0.8866666666666674,26.6,146.3,119.7,93.1,29.26,143.64000000000001,1,3,C,15541.67,2716.66,12825.01,0.88,11,500  Spence  LN,Nashville,TN,37210
Martin Luther King Jr School,High School,497,456,37203,1201,,,,,,,,,,10%,11%,18%,21%,20%,19%,0.005,0.09,0.35,0.09,0.005,0.46,0.5,0.5,0.08,0.025,0.025,1/17/23,6.005000000000005,108.08999999999999,420.34999999999997,108.08999999999999,6.005000000000005,552.46,600.5,600.5,96.08,30.025000000000002,30.025000000000002,5,5,A,12219.45,1349.93,10869.52,0.9384999999999999,19,613 17th Avenue North ,Nashville,TN,37203
May Werthan Shayne Elementary School,Elementary School,682,608,37211,731,,5%,17%,21%,18%,19%,20%,,,,,,,,,0.005,0.12,0.27,0.11,0.005,0.49,0.5,0.5,0.23,0.09,0.25,1/17/23,3.6550000000000034,87.72,197.37,80.41,3.6550000000000034,358.19,365.5,365.5,168.13,65.78999999999999,182.75,4,4.4,B,15102.2,2101.1099999999997,13001.09,0.9608,14,6217 Nolensville RD,Nashville,TN,37211
McGavock Elementary,Elementary School,530,465,37214,291,< 10,5%,16%,17%,16%,15%,13%,15%,,,,,,,,0.003333333,0.003333333,0.31,0.5,0.003333333,0.18,0.52,0.48,0.39,0.12,0.44,1/17/23,0.9700000000000009,0.9700000000000009,90.21,145.5,0.9700000000000009,52.379999999999995,151.32,139.68,113.49000000000001,34.92,128.04,1,1.5,D,19000.579999999998,3388.2799999999997,15612.3,0.8332999999999999,12,275  McGavock  PIKE,Nashville,TN,37214
McGavock High,High School,532,470,37214,2086,,,,,,,,,,,,27%,26%,26%,21%,0.006666667,0.006666667,0.42,0.26,0.006666667,0.3,0.51,0.49,0.35,0.14,0.15,1/17/23,13.906666666666679,13.906666666666679,876.12,542.36,13.906666666666679,625.8,1063.8600000000001,1022.14,730.0999999999999,292.04,312.9,1,1.1,F,13707.359999999999,1666.5600000000002,12040.8,0.8492000000000001,17,3150  McGavock  PIKE,Nashville,TN,37214
McMurray Middle,Middle School,540,480,37211,705,,,,,,,,26%,24%,23%,27%,,,,,5.551115123125783e-17,0.09,0.11,0.72,5.551115123125783e-17,0.08,0.55,0.45,0.34,0.11,0.69,1/17/23,3.913536161803677e-14,63.449999999999996,77.55,507.59999999999997,3.913536161803677e-14,56.4,387.75000000000006,317.25,239.70000000000002,77.55,486.45,1,2.2,D,15765.940000000002,2550.2,13215.740000000002,0.7963,13,520  McMurray  DR,Nashville,TN,37211
Meigs Middle,Middle School,555,330,37206,695,,,,,,,,25%,25%,25%,25%,,,,,0,0.11,0.19,0.07,0,0.63,0.49,0.51,0.05,0.06,0.025,1/17/23,0,76.45,132.05,48.650000000000006,0,437.85,340.55,354.45,34.75,41.699999999999996,17.375,5,3.1,C,12890.4,1381.1200000000001,11509.279999999999,1,18,713 Ramsey ST,Nashville,TN,37206
Moses McKissack Middle,Middle School,535,35,37209,173,,,,,,,,,22%,38%,40%,,,,,0.015999999999999993,0.015999999999999993,0.92,0.015999999999999993,0.015999999999999993,0.015999999999999993,0.53,0.47,0.77,0.25,0.075,1/17/23,2.767999999999999,2.767999999999999,159.16,2.767999999999999,2.767999999999999,2.767999999999999,91.69,81.31,133.21,43.25,12.975,1,1.8,D,25973.2,4468.089999999999,21505.11,0.9375,11,915 38th Ave N ,Nashville,TN,37209
Mt. View Elementary,Elementary School,576,493,37013,730,< 10,7%,20%,18%,18%,18%,18%,,,,,,,,,0.016666667,0.016666667,0.27,0.41,0.016666667,0.27,0.49,0.51,0.33,0.11,0.5,1/17/23,12.166666666666677,12.166666666666677,197.10000000000002,299.29999999999995,12.166666666666677,197.10000000000002,357.7,372.3,240.9,80.3,365,2,3,C,16220.4,2380.1499999999996,13840.25,0.7646999999999999,13,3820  Murfreesboro  RD,Antioch,TN,37013
Napier Elementary,Elementary School,590,510,37210,320,< 5%,11%,13%,18%,13%,13%,14%,13%,,,,,,,,0.005,0.005,0.88,0.1,0.005,0.005,0.45,0.55,0.89,0.19,0.025,1/17/23,1.6000000000000014,1.6000000000000014,281.6,32,1.6000000000000014,1.6000000000000014,144,176,284.8,60.8,8,1,3,C,21638.68,4760.76,16877.92,0.5909,12,60  Fairfield  AVE,Nashville,TN,37210
Nashville Classical,Charter,592,8044,37206,520,,,15%,14%,12%,12%,12%,9%,10%,9%,8%,,,,,0.003333333,0.003333333,0.63,0.09,0.003333333,0.27,0.51,0.49,0.3,0.15,0.025,1/17/23,1.7333333333333347,1.7333333333333347,327.6,46.8,1.7333333333333347,140.4,265.2,254.79999999999998,156,78,13,3.5,2.2,D,16829.989999999998,2910.1,13919.89,0.4412,16,1310 Ordway ,Nashville,TN,37206
Nashville Prep,Charter,594,8008,37209,206,,,,,,,,15%,33%,29%,24%,,,,,0.006666667,0.006666667,0.44,0.49,0.006666667,0.05,0.49,0.51,0.47,0.14,0.37,1/17/23,1.3733333333333344,1.3733333333333344,90.64,100.94,1.3733333333333344,10.3,100.94,105.06,96.82,28.840000000000003,76.22,2,3.5,B,20324.64,5655.19,14669.45,0.2,20,1300 56th Ave N ,Nashville,TN,37209
Nashville School Of The Arts,High School,242,512,37210,603,,,,,,,,,,,,27%,23%,25%,25%,0.006666667,0.006666667,0.4,0.1,0.006666667,0.48,0.3,0.7,0.14,0.11,0.075,1/17/23,4.020000000000003,4.020000000000003,241.20000000000002,60.300000000000004,4.020000000000003,289.44,180.9,422.09999999999997,84.42,66.33,45.225,5,4.8,A,13052.02,1394.64,11657.380000000001,0.8332999999999999,17,1250 Foster AVE,Nashville,TN,37210
Neelys Bend College Prep,Charter,601,6000,37115,371,,,,,,,,< 5%,36%,32%,29%,,,,,0,0,0.44,0.43,0,0.13,0.57,0.43,0.44,0.16,0.31,1/17/23,0,0,163.24,159.53,0,48.230000000000004,211.46999999999997,159.53,163.24,59.36,115.01,,,,,,,,,1251 Neelys Bend Rd,Madison,TN,37115
Neelys Bend Elementary,Elementary School,595,515,37115,370,< 5%,7%,16%,18%,15%,15%,15%,12%,,,,,,,,0.003333333,0.003333333,0.39,0.49,0.003333333,0.11,0.47,0.53,0.45,0.15,0.34,1/17/23,1.2333333333333343,1.2333333333333343,144.3,181.29999999999998,1.2333333333333343,40.7,173.89999999999998,196.10000000000002,166.5,55.5,125.80000000000001,2,2.5,C,17549.85,2906.5699999999997,14643.279999999999,0.8571,12,1300 Neely's Bend RD,Madison,TN,37115
Norman Binkley Elementary,Elementary School,145,525,37211,674,< 10,< 5%,17%,19%,16%,16%,15%,12%,,,,,,,,0.013333333333333345,0.013333333333333345,0.13,0.59,0.013333333333333345,0.24,0.5,0.5,0.27,0.14,0.6,1/17/23,8.986666666666673,8.986666666666673,87.62,397.65999999999997,8.986666666666673,161.76,337,337,181.98000000000002,94.36000000000001,404.4,2,2.9,C,16561.329999999998,2668.1699999999996,13893.16,0.7895,11,4700 West Longdale DR,Nashville,TN,37211
Old Center Elementary,Elementary School,610,535,37072,367,< 10,9%,14%,16%,17%,15%,15%,12%,,,,,,,,0.003333333,0.003333333,0.5,0.34,0.003333333,0.15,0.5,0.5,0.44,0.11,0.26,1/17/23,1.2233333333333207,1.2233333333333207,183.5,124.78000000000002,1.2233333333333207,55.05,183.5,183.5,161.48,40.37,95.42,3,2.1,D,19192.42,3414.2999999999997,15778.119999999999,0.9309999999999999,11,1245 Dickerson Pike South ,Goodlettsville,TN,37072
Paragon Mills Elementary,Elementary School,618,540,37211,567,< 5%,8%,19%,18%,16%,17%,17%,,,,,,,,,0,0.08,0.24,0.55,0,0.13,0.52,0.48,0.49,0.11,0.62,1/17/23,0,45.36,136.07999999999998,311.85,0,73.71000000000001,294.84000000000003,272.15999999999997,277.83,62.37,351.54,1,2.9,C,16701.61,3027.25,13674.36,0.75,11,260 Paragon Mills RD,Nashville,TN,37211
Park Avenue Elementary,Elementary School,620,545,37209,350,7%,10%,16%,17%,12%,13%,14%,10%,,,,,,,,0.003333333,0.003333333,0.87,0.05,0.003333333,0.07,0.54,0.46,0.71,0.22,0.025,1/17/23,1.1666666666666676,1.1666666666666676,304.5,17.5,1.1666666666666676,24.500000000000004,189,161,248.5,77,8.75,1,1.8,D,19551.99,3754.91,15797.080000000002,0.68,12,3703  Park  AVE,Nashville,TN,37209
Pearl-Cohn High,High School,632,555,37208,616,,,,,,,,,,,,24%,25%,29%,23%,0.005,0.005,0.92,0.06,0.005,0.005,0.53,0.47,0.66,0.19,0.05,1/17/23,3.0800000000000027,3.0800000000000027,566.72,36.96,3.0800000000000027,3.0800000000000027,326.48,289.52,406.56,117.04,30.8,1,1.2,F,14723.470000000001,2251.2,12472.27,0.6585,15,904 26th Avenue North ,Nashville,TN,37208
Pennington Elementary,Elementary School,640,565,37214,319,< 10,6%,15%,16%,14%,15%,17%,16%,,,,,,,,0.006666667,0.006666667,0.24,0.21,0.006666667,0.53,0.53,0.47,0.26,0.14,0.14,1/17/23,2.1266666666666683,2.1266666666666683,76.56,66.99,2.1266666666666683,169.07000000000002,169.07000000000002,149.92999999999998,82.94,44.660000000000004,44.660000000000004,2,1.5,D,17749.61,2509.5699999999997,15240.04,0.96,12,2817 Donna Hill DR,Nashville,TN,37214
Percy Priest Elementary,Elementary School,650,570,37215,452,,,21%,23%,18%,21%,17%,,,,,,,,,0.0225,0.07,0.0225,0.0225,0.0225,0.84,0.56,0.44,0.075,0.06,0.025,1/17/23,10.170000000000009,31.640000000000004,10.170000000000009,10.170000000000009,10.170000000000009,379.68,253.12000000000003,198.88,33.9,27.119999999999997,11.3,5,3.7,B,15943.870000000003,2139.79,13804.080000000002,0.9394,14,1700  Otter  Creek RD,Nashville,TN,37215
Purpose Prep,Charter,652,8046,37228,390,,,17%,17%,16%,19%,23%,8%,,,,,,,,0.0075,0.0075,0.92,0.0075,0.0075,0.05,0.44,0.56,0.4,0.06,0.025,1/17/23,2.924999999999992,2.924999999999992,358.8,2.924999999999992,2.924999999999992,19.5,171.6,218.40000000000003,156,23.4,9.75,4,2.9,C,16162.67,3769.0699999999997,12393.6,0.3,39,220 Venture CIR,Nashville,TN,37228
RePublic High School,Charter,660,8100,37207,601,,,,,,,,,,,,29%,28%,21%,23%,0.015000000000000013,0.015000000000000013,0.47,0.47,0.015000000000000013,0.015000000000000013,0.55,0.45,0.41,0.16,0.21,1/17/23,9.015000000000008,9.015000000000008,282.46999999999997,282.46999999999997,9.015000000000008,9.015000000000008,330.55,270.45,246.41,96.16,126.21,2,3,C,15180.869999999999,3757.91,11422.96,0.2727,28,3307 Brick Church PIKE,Nashville,TN,37207
Robert Churchwell Elementary,Elementary School,784,618,37208,295,< 10,5%,16%,21%,11%,18%,14%,15%,,,,,,,,0.0025,0.0025,0.92,0.07,0.0025,0.0025,0.47,0.53,0.83,0.16,0.08,1/17/23,0.7375000000000007,0.7375000000000007,271.40000000000003,20.650000000000002,0.7375000000000007,0.7375000000000007,138.65,156.35,244.85,47.2,23.6,1,2,D,18182.99,4199.66,13983.330000000002,0.5909,12,1625 Dr. D. B. Todd Jr. BLVD,Nashville,TN,37208
Rocketship Nashville Northeast Elementary,Charter,667,8050,37207,491,,,18%,19%,17%,20%,19%,8%,,,,,,,,0.010000000000000009,0.010000000000000009,0.71,0.25,0.010000000000000009,0.010000000000000009,0.53,0.47,0.64,0.14,0.21,1/17/23,4.910000000000005,4.910000000000005,348.60999999999996,122.75,4.910000000000005,4.910000000000005,260.23,230.76999999999998,314.24,68.74000000000001,103.11,1,2.4,D,12388.779999999999,2567.5699999999997,9821.21,0.2593,18,2526 Dickerson RD,Nashville,TN,37207
Rocketship United,Charter,668,8070,37217,493,,,19%,22%,21%,17%,22%,,,,,,,,,0.006666667,0.006666667,0.46,0.47,0.006666667,0.05,0.45,0.55,0.42,0.1,0.52,1/17/23,3.2866666666666693,3.2866666666666693,226.78,231.70999999999998,3.2866666666666693,24.650000000000002,221.85,271.15000000000003,207.06,49.300000000000004,256.36,3,4,B,11637.68,2432.0099999999998,9205.67,0.2273,22,320 Plus Park BLVD,Nashville,TN,37217
Rose Park Middle,Middle School,675,595,37203,376,,,,,,,,18%,31%,26%,25%,,,,,0.010000000000000009,0.010000000000000009,0.67,0.1,0.010000000000000009,0.2,0.55,0.45,0.24,0.1,0.025,1/17/23,3.7600000000000033,3.7600000000000033,251.92000000000002,37.6,3.7600000000000033,75.2,206.8,169.20000000000002,90.24,37.6,9.4,3.8,3.4,C,14485.7,1861.2700000000002,12624.43,0.6786,14,1025 9th Avenue South ,Nashville,TN,37203
Rosebank Elementary,Elementary School,670,600,37206,427,< 10,7%,18%,16%,18%,15%,13%,11%,,,,,,,,0.013333333333333345,0.013333333333333345,0.36,0.11,0.013333333333333345,0.49,0.51,0.49,0.29,0.15,0.07,1/17/23,5.693333333333338,5.693333333333338,153.72,46.97,5.693333333333338,209.23,217.77,209.23,123.83,64.05,29.890000000000004,4,3.5,B,18960.17,2709.5099999999998,16250.66,0.9,12,1012  Preston  DR,Nashville,TN,37206
Ruby Major Elementary,Elementary School,522,607,37076,555,< 10,7%,17%,17%,14%,15%,16%,14%,,,,,,,,0.016666667,0.016666667,0.46,0.15,0.016666667,0.34,0.52,0.48,0.39,0.13,0.14,1/17/23,9.250000000000007,9.250000000000007,255.3,83.25,9.250000000000007,188.70000000000002,288.6,266.4,216.45000000000002,72.15,77.7,2,2.4,D,16670.98,2602.1699999999996,14068.810000000001,0.9231,13,5141 John Hager RD,Hermitage,TN,37076
Shwab Elementary,Elementary School,685,610,37207,338,5%,10%,15%,15%,15%,17%,11%,12%,,,,,,,,0,0,0.38,0.54,0,0.08,0.52,0.48,0.45,0.2,0.41,1/17/23,0,0,128.44,182.52,0,27.04,175.76000000000002,162.23999999999998,152.1,67.60000000000001,138.57999999999998,1,2,D,20625.54,4137.79,16487.75,0.8214,10,1500  Dickerson  RD,Nashville,TN,37207
Smith Springs Elementary School,Elementary School,686,750,37013,732,,8%,19%,18%,18%,18%,19%,,,,,,,,,0.010000000000000009,0.010000000000000009,0.41,0.36,0.010000000000000009,0.2,0.52,0.48,0.35,0.11,0.33,1/17/23,7.3200000000000065,7.3200000000000065,300.12,263.52,7.3200000000000065,146.4,380.64,351.36,256.2,80.52,241.56,2,2.7,C,15344.86,2438.29,12906.57,0.84,13,3132 Smith Springs RD,Antioch,TN,37013
Smithson Craighead Academy,Charter,687,8001,37115,311,,,19%,19%,17%,20%,13%,12%,,,,,,,,3.700743415417188e-17,3.700743415417188e-17,0.43,0.48,3.700743415417188e-17,0.09,0.53,0.47,0.37,0.14,0.36,1/17/23,1.1509312021947455e-14,1.1509312021947455e-14,133.73,149.28,1.1509312021947455e-14,27.99,164.83,146.17,115.07,43.540000000000006,111.96,2,2.2,D,19748.87,4209.69,15539.18,0.6842,17,730 Neely's Bend RD,Madison,TN,37115
Stanford Elementary,Elementary School,690,615,37214,424,13%,14%,14%,14%,13%,12%,12%,8%,,,,,,,,0.016666667,0.016666667,0.28,0.08,0.016666667,0.59,0.51,0.49,0.11,0.1,0.025,1/17/23,7.066666666666673,7.066666666666673,118.72000000000001,33.92,7.066666666666673,250.16,216.24,207.76,46.64,42.400000000000006,10.600000000000001,5,4,B,20783.969999999998,1731.9399999999998,19052.03,0.9655,11,2417  Maplecrest  DR,Nashville,TN,37214
STEM Prep Academy,Charter,695,8006,37210,524,,,,,,,,22%,26%,27%,25%,,,,,0.010000000000000009,0.010000000000000009,0.25,0.53,0.010000000000000009,0.19,0.51,0.49,0.37,0.09,0.52,1/17/23,5.240000000000005,5.240000000000005,131,277.72,5.240000000000005,99.56,267.24,256.76,193.88,47.16,272.48,2.7,3.8,B,15526.93,3320.7799999999997,12206.15,0.24,21,1162 Foster AVE,Nashville,TN,37210
STEM Prep High School,Charter,696,8075,37210,522,,,,,,,,,,,,26%,27%,23%,23%,0.006666667,0.006666667,0.21,0.56,0.006666667,0.21,0.54,0.46,0.3,0.08,0.35,1/17/23,3.480000000000003,3.480000000000003,109.61999999999999,292.32000000000005,3.480000000000003,109.61999999999999,281.88,240.12,156.6,41.76,182.7,2,3.1,C,13777.099999999999,3039.7999999999997,10737.3,0.381,25,1162 foster AVE,Nashville,TN,37210
Stratford STEM Magnet School,High School,705,620,37216,798,,,,,,,,,9%,8%,10%,21%,19%,18%,16%,0.003333333,0.003333333,0.67,0.18,0.003333333,0.14,0.52,0.48,0.59,0.2,0.15,1/17/23,2.6599999999999726,2.6599999999999726,534.6600000000001,143.64,2.6599999999999726,111.72000000000001,414.96000000000004,383.03999999999996,470.82,159.60000000000002,119.69999999999999,1,1.8,D,16752.23,2796.7799999999997,13955.45,0.8525,13,1800  Stratford  AVE,Nashville,TN,37216
Stratton Elementary,Elementary School,710,625,37115,479,,< 5%,14%,19%,16%,19%,15%,13%,,,,,,,,0.006666667,0.006666667,0.38,0.5,0.006666667,0.1,0.5,0.5,0.48,0.12,0.46,1/17/23,3.193333333333336,3.193333333333336,182.02,239.5,3.193333333333336,47.900000000000006,239.5,239.5,229.92,57.48,220.34,1,1.2,F,16716.149999999998,2763.1899999999996,13952.96,0.7436,12,310 Old Hickory Blvd. West ,Madison,TN,37115
Strive Collegiate Academy,Charter,712,8090,37214,278,,,,,,,,,33%,37%,29%,,,,,0.006666667,0.006666667,0.46,0.28,0.006666667,0.24,0.49,0.51,0.33,0.17,0.19,1/17/23,1.8533333333333348,1.8533333333333348,127.88000000000001,77.84,1.8533333333333348,66.72,136.22,141.78,91.74000000000001,47.260000000000005,52.82,2,3.5,B,15355.130000000001,3524.43,11830.7,0.15380000000000002,22,"3055 Lebanon RD, Suite 300",Nashville,TN,37214
Sylvan Park Elementary,Elementary School,715,630,37209,450,,,19%,19%,18%,16%,16%,12%,,,,,,,,0.016666667,0.016666667,0.24,0.05,0.016666667,0.66,0.51,0.49,0.13,0.13,0.025,1/17/23,7.500000000000006,7.500000000000006,108,22.5,7.500000000000006,297,229.5,220.5,58.5,58.5,11.25,5,3.6,B,15709.8,1830.3,13879.5,0.8824,13,4801  Utah  AVE,Nashville,TN,37209
Thomas A. Edison Elementary,Elementary School,575,208,37013,584,< 10,< 5%,18%,18%,20%,17%,20%,,,,,,,,,0.010000000000000009,0.010000000000000009,0.32,0.43,0.010000000000000009,0.22,0.53,0.47,0.35,0.11,0.5,1/17/23,5.840000000000005,5.840000000000005,186.88,251.12,5.840000000000005,128.48,309.52000000000004,274.47999999999996,204.39999999999998,64.24,292,2,3.3,C,16022.259999999998,2677.2799999999997,13344.98,0.7273000000000001,12,6130 Mt. View RD,Antioch,TN,37013
Thurgood Marshall Middle,Middle School,551,633,37013,766,,,,,,,,21%,27%,26%,26%,,,,,0,0.1,0.35,0.39,0,0.16,0.54,0.46,0.27,0.1,0.46,1/17/23,0,76.60000000000001,268.09999999999997,298.74,0,122.56,413.64000000000004,352.36,206.82000000000002,76.60000000000001,352.36,1,1.6,D,14822.1,2107.27,12714.83,0.9057,14,5820 Pettus RD,Antioch,TN,37013
Tom Joy Elementary,Elementary School,495,635,37207,446,< 10,8%,20%,15%,13%,18%,15%,10%,,,,,,,,0.006666667,0.006666667,0.56,0.33,0.006666667,0.09,0.5,0.5,0.64,0.11,0.3,1/17/23,2.9733333333333194,2.9733333333333194,249.76000000000002,147.18,2.9733333333333194,40.14,223,223,285.44,49.06,133.79999999999998,1,2.8,C,17736.69,3565.4399999999996,14171.25,0.8056,12,2201  Jones  AVE,Nashville,TN,37207
Tulip Grove Elementary,Elementary School,717,637,37076,531,< 5%,5%,16%,17%,15%,14%,19%,11%,,,,,,,,0.020000000000000018,0.020000000000000018,0.37,0.32,0.020000000000000018,0.25,0.5,0.5,0.37,0.18,0.27,1/17/23,10.62000000000001,10.62000000000001,196.47,169.92000000000002,10.62000000000001,132.75,265.5,265.5,196.47,95.58,143.37,2,1.5,D,18231.920000000002,2783.72,15448.2,0.8571,12,441  Tyler  DR,Hermitage,TN,37076
Tusculum Elementary,Elementary School,725,645,37211,661,< 5%,7%,16%,20%,18%,17%,18%,,,,,,,,,0.005,0.07,0.11,0.69,0.005,0.12,0.51,0.49,0.37,0.1,0.68,1/17/23,3.3050000000000397,46.27,72.71,456.09,3.3050000000000397,79.32,337.11,323.89,244.57,66.10000000000001,449.48,2,3.4,C,16925.51,3537.8399999999997,13387.669999999998,0.8305,10,440 McMurray DR,Nashville,TN,37211
Two Rivers Middle,Middle School,730,650,37214,267,,,,,,,,,34%,35%,31%,,,,,0.006666667,0.006666667,0.41,0.31,0.006666667,0.26,0.57,0.43,0.51,0.19,0.26,1/17/23,1.7800000000000016,1.7800000000000016,109.47,82.77,1.7800000000000016,69.42,152.19,114.81,136.17000000000002,50.730000000000004,69.42,1,3,C,15875.869999999999,2764.0299999999997,13111.84,0.75,13,2991  McGavock  PIKE,Nashville,TN,37214
Una Elementary,Elementary School,735,655,37217,763,< 10,< 5%,15%,16%,16%,15%,17%,16%,,,,,,,,0.006666667,0.006666667,0.28,0.53,0.006666667,0.17,0.51,0.49,0.35,0.09,0.54,1/17/23,5.086666666666643,5.086666666666643,213.64000000000001,404.39000000000004,5.086666666666643,129.71,389.13,373.87,267.05,68.67,412.02000000000004,2,2.1,D,15939.52,2481.7299999999996,13457.79,0.75,14,2018 Murfreesboro RD,Nashville,TN,37214
Valor Flagship Academy,Charter,743,8045,37211,1392,,,,,,,,9%,9%,9%,9%,17%,17%,15%,14%,0,0.07,0.18,0.24,0,0.51,0.49,0.51,0.19,0.1,0.16,1/17/23,0,97.44000000000001,250.56,334.08,0,709.92,682.08,709.92,264.48,139.20000000000002,222.72,5,5,A,15001.39,2791.2799999999997,12210.11,0.5579,15,4527 Nollensville RD,Nashville,TN,37211
Valor Voyager Academy,Charter,744,8080,37211,496,,,,,,,,25%,25%,25%,25%,,,,,0,0.08,0.19,0.32,0,0.41,0.48,0.52,0.21,0.11,0.28,1/17/23,0,39.68,94.24,158.72,0,203.35999999999999,238.07999999999998,257.92,104.16,54.56,138.88000000000002,5,5,A,15419.64,3073.8599999999997,12345.779999999999,0.5,16,4527 Nolensville RD,Nashville,TN,37211
Warner Elementary,Elementary School,755,675,37206,409,< 10,6%,19%,17%,18%,12%,14%,11%,,,,,,,,0.010000000000000009,0.010000000000000009,0.78,0.010000000000000009,0.010000000000000009,0.18,0.52,0.48,0.65,0.18,0.025,1/17/23,4.090000000000003,4.090000000000003,319.02000000000004,4.090000000000003,4.090000000000003,73.61999999999999,212.68,196.32,265.85,73.61999999999999,10.225000000000001,2,3.1,C,20890.609999999997,3622.9399999999996,17267.67,0.6667000000000001,10,626  Russell  ST,Nashville,TN,37206
Waverly-Belmont Elementary School,Elementary School,765,755,37204,482,,,18%,22%,21%,18%,21%,,,,,,,,,0.013333333333333345,0.013333333333333345,0.39,0.07,0.013333333333333345,0.5,0.52,0.48,0.22,0.16,0.075,1/17/23,6.426666666666672,6.426666666666672,187.98000000000002,33.74,6.426666666666672,241,250.64000000000001,231.35999999999999,106.04,77.12,36.15,5,3.2,C,14612.3,1816.7299999999998,12795.57,0.7568,13,2301 10th Ave South ,Nashville,TN,37204
West End Middle,Middle School,770,690,37205,345,,,,,,,,,37%,33%,30%,,,,,0.016666667,0.016666667,0.42,0.07,0.016666667,0.46,0.53,0.47,0.23,0.22,0.025,1/17/23,5.750000000000004,5.750000000000004,144.9,24.150000000000002,5.750000000000004,158.70000000000002,182.85000000000002,162.14999999999998,79.35000000000001,75.9,8.625,4,3.4,C,15482.249999999998,1604.6299999999999,13877.619999999999,0.84,14,3529 West End AVE,Nashville,TN,37205
Westmeade Elementary,Elementary School,775,695,37205,375,,,21%,21%,19%,18%,21%,,,,,,,,,0,0.1,0.37,0.14,0,0.39,0.53,0.47,0.3,0.13,0.14,1/17/23,0,37.5,138.75,52.50000000000001,0,146.25,198.75,176.25,112.5,48.75,52.50000000000001,3,3.9,B,16188.560000000001,2165.2499999999995,14023.310000000001,0.7576,11,6641  Clearbrook  DR,Nashville,TN,37205
Whites Creek High School,High School,787,704,37189,602,,,,,,,,,,,,29%,28%,25%,18%,0,0,0.78,0.11,0,0.11,0.54,0.46,0.61,0.18,0.09,1/17/23,0,0,469.56,66.22,0,66.22,325.08000000000004,276.92,367.21999999999997,108.36,54.18,1,2.6,C,16928.72,3382.3199999999997,13546.400000000001,0.7619,14,7277  Old  Hickory BLVD,Whites Creek,TN,37189
